Name	Type	Price classification	Unit price (kr/m2)	Thickness (m)	Area (m2)	Total price (kr)
Floor:127mm Slab on Grade	Structural Floor Decks	Præfabrikerede dækementer af beton, 180 x 1.197 x 7.200 mm	664.8718872070312	0.127	64.77992799999991	43070.35298249555
Floor:127mm Slab on Grade	Structural Floor Decks	Præfabrikerede dækementer af beton, 180 x 1.197 x 7.200 mm	664.8718872070312	0.127	64.90642799999978	43154.45927622715
Floor:Residential - Wood Joist with Subflooring	Structural Floor Decks	Præfabrikerede dækelementer af træ for montering i samme bolig	1301.054443359375	0.3050000000000001	59.22901759999958	77060.17652429007
Floor:Residential - Wood Joist with Subflooring	Structural Floor Decks	Præfabrikerede dækelementer af træ for montering i samme bolig	1301.054443359375	0.3050000000000001	59.33374759999967	77196.43595614322
Floor:Finish Floor - Wood	Wood Flooring	Bøgeparket, 22 mm, type Harmony, på strøer pr. 420 mm/isolering	986.15673828125	0.019	22.04323199999996	21738.081770296838
Floor:Finish Floor - Wood	Wood Flooring	Bøgeparket, 22 mm, type Harmony, på strøer pr. 420 mm/isolering	986.15673828125	0.019	22.04323199999991	21738.081770296787
Floor:Finish Floor - Wood	Wood Flooring	Bøgeparket, 22 mm, type Harmony, på strøer pr. 420 mm/isolering	986.15673828125	0.019	22.06913600000004	21763.62717444535
Floor:Finish Floor - Wood	Wood Flooring	Bøgeparket, 22 mm, type Harmony, på strøer pr. 420 mm/isolering	986.15673828125	0.019	22.04323199999984	21738.081770296718
Floor:Finish Floor - Wood	Wood Flooring	Bøgeparket, 22 mm, type Harmony, på strøer pr. 420 mm/isolering	986.15673828125	0.019	7.210867999999976	7111.046067056616
Floor:Finish Floor - Wood	Wood Flooring	Bøgeparket, 22 mm, type Harmony, på strøer pr. 420 mm/isolering	986.15673828125	0.019	7.21086799999996	7111.046067056601
Floor:Finish Floor - Ceramic Tile	Tile Flooring	Gulvfliser, 100 x 100 x 9 mm, at lægge på underlag af beton	1804.3494873046875	0.013	6.339839999999962	11439.287053593682
Floor:Finish Floor - Ceramic Tile	Tile Flooring	Gulvfliser, 100 x 100 x 9 mm, at lægge på underlag af beton	1804.3494873046875	0.013	6.339840000000071	11439.287053593878
Floor:Finish Floor - Wood	Wood Flooring	Bøgeparket, 22 mm, type Harmony, på strøer pr. 420 mm/isolering	986.15673828125	0.019	47.1499189999998	46497.210331264934
Floor:Finish Floor - Ceramic Tile	Tile Flooring	Gulvfliser, 100 x 100 x 9 mm, at lægge på underlag af beton	1804.3494873046875	0.013	12.95406999999974	23373.669563008563
Floor:Finish Floor - Ceramic Tile	Tile Flooring	Gulvfliser, 100 x 100 x 9 mm, at lægge på underlag af beton	1804.3494873046875	0.013	3.160976000000042	5703.505424982498
Floor:Finish Floor - Ceramic Tile	Tile Flooring	Gulvfliser, 100 x 100 x 9 mm, at lægge på underlag af beton	1804.3494873046875	0.013	3.160976000000074	5703.505424982555
Floor:Finish Floor - Wood	Wood Flooring	Bøgeparket, 22 mm, type Harmony, på strøer pr. 420 mm/isolering	986.15673828125	0.019	47.15012874054669	46497.41716831855
Floor:Finish Floor - Ceramic Tile	Tile Flooring	Gulvfliser, 100 x 100 x 9 mm, at lægge på underlag af beton	1804.3494873046875	0.013	12.95406999999977	23373.669563008618
Floor:150mm Exterior Slab on Grade	Structural Floor Decks	Præfabrikerede dækementer af beton, 215 x 1.197 x 7.200 mm	593.3502197265625	0.15	25.4198572000002	15082.877855037961
Floor:150mm Exterior Slab on Grade	Structural Floor Decks	Præfabrikerede dækementer af beton, 215 x 1.197 x 7.200 mm	593.3502197265625	0.15	25.4198572	15082.877855037841
